instanceName;algorithmName;noRuns;runningTime;minScore;avgScore;maxScore;stdDev;initialSolutionScore
ch130;TabuSearchAlgorithm;300;38074;6233;7182.95;27892;1751.51;47737
kroA100;TabuSearchAlgorithm;300;16963;21381;25190.5;120583;9098.76;168516
kroC100;TabuSearchAlgorithm;300;16750;20967;24680;86147;7203;168477
kroD100;TabuSearchAlgorithm;300;16379;21635;25725.7;102387;8907.99;167689
lin105;TabuSearchAlgorithm;300;19280;14443;17338;103321;6691.55;123041
pr76;TabuSearchAlgorithm;300;7306;108444;119144;343432;22277.2;553611
a280;TabuSearchAlgorithm;300;401401;2737;3793.04;26155;2214.36;33812
lin318;TabuSearchAlgorithm;300;591304;44304;65404.2;452881;49023.5;584177
