instanceName;algorithmName;noRuns;runningTime;minScore;avgScore;maxScore;stdDev;initialSolutionScore
ch130;RandomWalkAlgorithm;300;14435;40901;46278.3;50886;1724.77;42878
kroA100;RandomWalkAlgorithm;300;6319;145481;170997;191028;8120.82;175320
kroC100;RandomWalkAlgorithm;300;6319;141419;170817;191469;8254.62;177215
kroD100;RandomWalkAlgorithm;300;6319;142408;162925;183610;7586.53;161822
lin105;RandomWalkAlgorithm;300;7821;108364;123373;137613;5369.77;131667
pr76;RandomWalkAlgorithm;300;2708;492155;572845;660354;26875.6;576730
a280;RandomWalkAlgorithm;300;169059;30602;34094.4;36362;998.157;34962
lin318;RandomWalkAlgorithm;300;272321;546795;586684;626791;13572.8;562064
