instanceName;algorithmName;noRuns;runningTime;minScore;avgScore;maxScore;stdDev;initialSolutionScore
ch130;TabuSearchAlgorithm;300;36291;6341;7460.23;36062;3199.63;46340
kroA100;TabuSearchAlgorithm;300;16088;21320;25622.3;129354;10172.5;172979
kroC100;TabuSearchAlgorithm;300;15934;20922;24918.1;96185;7584.38;180470
kroD100;TabuSearchAlgorithm;300;15774;21494;25832.2;117946;9868.71;163191
lin105;TabuSearchAlgorithm;300;18813;14420;16939.3;63308;4741.3;129994
pr76;TabuSearchAlgorithm;300;6959;108559;120564;384572;27058.3;553103
a280;TabuSearchAlgorithm;300;379533;2756;3679.77;21828;1551;33799
lin318;TabuSearchAlgorithm;300;565745;44295;63575.8;474670;46169.1;590981
